,Sentence,Usage,Idiom,BetweenPOS,NumOfWordsBetween,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG
2362,it be all right i be only pull you leg,Q,pull_leg,['DPS'],1,AV0,VBB,,,1,10,0.07060000000000001
2363,the gluteus maximus muscle in the buttock make it possible to pull the leg back push the hip forward and stand up straight,L,pull_leg,['AT0'],1,TO0,AJ0,AVP,VVB,2,23,0.5347368421052631
2364,i think she be pull i leg so i ask she again,Q,pull_leg,['DPS'],1,VBZ,PNP,CJS,PNP,1,12,0.5296000000000001
2365,i look at the false leg for a bit while he pull up he trousers leg,L,pull_leg,"['AVP', 'DPS', 'NN1']",3,PNP,CJS,,,2,16,0.3748
2366,a friend have tell she that they never take they off but she have think that he be pull she leg,I,pull_leg,['DPS'],1,VBD,PNP,,,1,21,0.3776666666666667
2367,i will pull you leg,Q,pull_leg,['DPS'],1,VM0,PNP,,,1,5,0.47350000000000003
2368,you will have to pull i leg,L,pull_leg,['DPS'],1,TO0,VHI,,,1,7,0.6122500000000001
2369,clair george who record the conversation in he usual bombastic way notice a twinkle in casey 's eye as he say that and wonder if he leg be be pull,I,pull_leg,[],0,VBG,VBD,,,1,30,0.4001333333333334
2370,you be pull i leg,Q,pull_leg,['DPS'],1,VBB,PNP,,,1,5,0.47350000000000003
2371,tell i you be only pull i leg,Q,pull_leg,['DPS'],1,AV0,VBB,,,1,8,0.06574999999999999
2372,i be only pull you leg,Q,pull_leg,['DPS'],1,AV0,VBD,,,1,6,0.06233333333333333
2373,be you pull i leg,Q,pull_leg,['DPS'],1,PNP,VBB,,,1,5,0.47350000000000003
2374,it be quite legal to go out into the countryside find a hedgehog and pull off it leg one by one,L,pull_leg,"['AVP', 'DPS']",2,CJC,NN1,CRD,PRP,3,21,-0.0165833333333333
2375,pull they leg can come later if and when rapport have be establish,I,pull_leg,['DPS'],1,,VBN,VM0,VVI,1,13,0.45283333333333337
2376,i used to tap dance high kick do split pull i leg up at the back of i head,L,pull_leg,['DPS'],1,NN2,VDB,AVP,PRP,1,19,0.4714285714285715
2377,we used to pull he leg about this ask he if he could remember which one it be tonight and it go without save that the two girl be not even on nod term with each other,I,pull_leg,['DPS'],1,TO0,VM0,PRP,DT0,1,37,0.21092857142857144
2378,some species of small beetle behave in a similar fashion pull all they leg in close to they body and lie absolutely still,L,pull_leg,"['DT0', 'DPS']",2,NN1,AJ0,PRP,AJ0-AV0,1,23,0.1975
2379,it be where shaving be for wedding tie be for funeral and tea be brew in a billy then swing overhead to settle the leaf or to scare the spider away depend on who be pull you leg,Q,pull_leg,['DPS'],1,VBZ,PNQ,,,1,38,0.20481818181818182
2380,relax the leg by hold on to you ankle and pull the leg behind you for 5 count see previous exercise,L,pull_leg,['AT0'],1,CJC,NN1,PRP,PNP,3,21,0.34192857142857147
2381,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2382,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2383,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2384,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2385,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2386,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2387,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2388,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2389,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2390,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2391,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2392,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2393,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2394,take hold of you top leg by the ankle and pull back the leg as far as possible without strain,L,pull_leg,"['AVP', 'AT0']",2,CJC,NN1,AV0,AV0,2,20,0.26406666666666667
2395,apparently david sole use he free arm to pull he opponent 's leg from under he thereby cause the scrum to collapse and invariably gain a penalty,L,pull_leg,"['DPS', 'NN1', 'POS']",3,TO0,NN1,PRP,PRP,2,27,0.30623529411764705
2396,the other child pull he leg and generally tease he about what he have see but the child strenuously defend he story somehow the fun have go out of the adventure and they decide to return home,I,pull_leg,['DPS'],1,NN2,AJ0,CJC,AV0,1,37,0.431
2397,you be pull i leg,Q,pull_leg,['DPS'],1,VBB,PNP,,,1,5,0.47350000000000003
2398,that quip could get you recommend to the witless corps brother the speaker put in oh i be only pull she leg,I,pull_leg,['DPS'],1,AV0,VBD,,,1,22,0.5673571428571428
2399,i say i be only pull you leg,Q,pull_leg,['DPS'],1,AV0,VBD,,,2,8,0.20024999999999998
2400,she be pull he leg,Q,pull_leg,['DPS'],1,VBD,PNP,,,1,5,0.47350000000000003
2401,for wisecracker have be pull they leg unmercifully ever since the sex and sangria saga hit the airwave,I,pull_leg,['DPS'],1,VBN,VHB,AV0,AV0,1,18,0.3254
2402,we try to pull the leg up so that he would not put so much weight on it but then he only find it even hard to walk straight,L,pull_leg,['AT0'],1,TO0,VVD,AVP,AV0,1,29,0.2985333333333334
2403,place the doll on she lap she pull the leg off,L,pull_leg,['AT0'],1,PNP,NN1,AVP,,1,11,0.2875
2404,john pull he sister 's leg,Q,pull_leg,"['DPS', 'NN1', 'POS']",3,NP0,,,,1,6,0.6006666666666667
2405,he do i first and as usual step over i mattress to brian who suddenly snarl do not you pull i leg i be not an animal,L,pull_leg,['DPS'],1,PNP,XX0,PNP,VBB,1,27,0.32476923076923075
2406,i pull it short leg hard,L,pull_leg,"['DPS', 'AJ0']",2,PNP,,AV0-AJ0,,1,6,-0.15075
2407,she try she leg next and they move a bit within the strap but she boot prevent she from pull she leg through the loop,L,pull_leg,['DPS'],1,PRP,PNP,PRP,AT0,2,25,0.38833333333333336
2408,i try to get he to return i smile to confess that he have be pull i leg but he brooding face be drain of humour,Q,pull_leg,['DPS'],1,VBN,VHD,CJC,DPS,1,26,0.47685714285714287
2409,he clasp and unclasped he wiry hand two or three time as though wring out a rag pull he leg on to the bed sit back and reply in a raucous whisper,L,pull_leg,['DPS'],1,NN1,AT0,AVP,PRP,1,32,0.27638888888888885
2410,the oak could not quite pull off he arm and leg so they be help they,L,pull_leg,"['AVP', 'DPS', 'NN2', 'CJC']",4,AV0,XX0,CJS,PNP,1,16,0.27799999999999997
2411,she describe the american on the moon satellite and space travel and he eye widen with delighted wonder like a child be as he say you be pull i leg,I,pull_leg,['DPS'],1,VBB,PNP,,,1,30,0.5684285714285715
2412,turn away swing the arm and club and then pull the body and leg through,L,pull_leg,"['AT0', 'NN1', 'CJC']",3,AV0,CJC,AVP-PRP,,2,15,0.3014545454545454
2413,the feeling be that the clubhead get through beyond impact and literally do pull the right foot and right leg on through to make a finish,L,pull_leg,"['AT0', 'AJ0-NN1', 'NN1', 'CJC', 'AJ0']",5,VDZ,AV0,PRP-AVP,AJ0,1,26,0.5270500000000001
2414,it be just the right length to stretch taut pull the leg slightly back,L,pull_leg,['AT0'],1,AJ0,VVI,AV0,AVP,1,14,0.4435833333333334
2415,2 pull the left leg across the body to the right and pivot on the ball of the foot through 180آ°,L,pull_leg,"['AT0', 'AJ0']",2,CRD,,PRP,AT0,2,21,0.7316875000000002
2416,the axe kick 1 begin to pull back the leg,L,pull_leg,"['AVP', 'AT0']",2,TO0,VVB,,,1,10,0.325
2417,you partner stand behind you pull you leg towards he gently,L,pull_leg,['DPS'],1,PNP,PRP,PRP,PNP,4,11,0.005666666666666671
2418,4 never make you student feel stupid or ignorant if you want to make a joke at a student 's expense that be all right as long as he do not mind he leg be pull,I,pull_leg,[],0,VBG,NN1,,,1,36,0.25817647058823523
2419,they used to pull i leg but once they have have a go they soon change they mind,Q,pull_leg,['DPS'],1,TO0,VM0,CJC,CJS,1,18,0.461
2420,she think he be probably pull she leg but would not actually have lay money on it and it be there seat at the bar that donal finally find she,I,pull_leg,['DPS'],1,AV0,VBD,CJC,VM0,1,30,0.23166666666666666
2421,you be pull i leg,Q,pull_leg,['DPS'],1,VBB,PNP,,,1,5,0.47350000000000003
2422,it be all right robbie i be pull you leg,Q,pull_leg,['DPS'],1,VBD,PNP,,,1,10,0.0646
2423,chatterton pull they leg slightly and say they have well be careful not to get on the wrong side of you again and glastonbury do not know what the hell anyone be talk about,I,pull_leg,['DPS'],1,NP0-NN1,,AV0,CJC,1,34,0.31778947368421057
2424,boy and girl and woman that would groan to see a child pull off an insect 's leg all read of war the good amusement of we morning meal,L,pull_leg,"['AVP', 'AT0', 'NN1', 'POS']",4,NN1,AT0,AV0,VVN,1,29,0.2732857142857143
2425,i scutter around until i be face the door and pull i leg in just as they open fully,L,pull_leg,['DPS'],1,CJC,NN2,AVP,AV0,1,19,0.3905
2426,you be pull i leg,Q,pull_leg,['DPS'],1,VBB,PNP,,,1,5,0.47350000000000003
2427,let i see sit on the couch and pull up you trousers leg,L,pull_leg,"['AVP', 'DPS', 'NN1']",3,CJC,NN1,,,1,13,0.33455555555555555
2428,he show outstanding bravery pull he leg up until the very last minute,L,pull_leg,['DPS'],1,NN1,AJ0,AVP,CJS,1,13,0.46840000000000004
2429,i try to get up but i leg be pull from under i and i be kick by i opponent,L,pull_leg,"['PRP', 'PRP', 'PNP', 'CJC', 'PNP', 'VBD', 'VVN', 'PRP', 'DPS']",9,VBD,NN2,,,2,20,0.23025
2430,he be only pull you leg,Q,pull_leg,['DPS'],1,AV0,VBD,,,1,6,0.06233333333333333
2431,oh dear they all use to pull i blue leg when i be with they work oh old sergeant name he name be he be the m section maintenance section in the signal m section old sergeant,Q,pull_leg,"['DPS', 'AJ0']",2,TO0,VVB-NN1,CJS,PNP,1,37,0.2684545454545455
2432,and so of course they start pull he leg then see,Q,pull_leg,['DPS'],1,VVD,PNP,AV0,VVB,1,11,0.1995
2433,well i say i think he be pull you leg,Q,pull_leg,['DPS'],1,VBD,PNP,,,1,10,0.6138
2434,you do not have to say that but we all you know you be you be pull they leg the whole time okay,Q,pull_leg,['DPS'],1,VBB,PNP,AT0,AJ0,1,23,0.49791666666666673
2435,do you know because so many people switch off they tvs by remote control instead of pull out the plug they go on use electricity the same in one night that would power leicester for one day,L,pull_plug,"['AVP', 'AT0']",2,PRF,AV0,PNP,VVB,1,37,0.27832000000000007
2436,this would entitle they to sack eurotunnel 's management bring in new equity participation and pull the plug on the آ£1bn invest by existing shareholder in the project,I,pull_plug,['AT0'],1,CJC,NN1,PRP,AT0,1,28,0.46229411764705874
2437,why itv be pull plug neil wilson look behind the screen at the changing picture of televised sport,Q,pull_plug,[],0,VBB,NP0,NP0,NP0,1,18,0.32633333333333336
2438,the bank can pull the plug,Q,pull_plug,['AT0'],1,VM0,NN2,,,2,6,0.7304
2439,practically the bank be not wish to pull the plug,I,pull_plug,['AT0'],1,TO0,VVG,,,2,10,0.6657500000000001
2440,the late controversy over political interference in research surface when a sunday newspaper report that the prime minister have personally pull the plug on department of health funding for a survey of sexual habit to help scientist to predict the spread of aid,I,pull_plug,['AT0'],1,AV0,VHD,PRP,NN1,1,43,0.38876315789473687
2441,the bank can technically pull the plug on eurotunnel,I,pull_plug,['AT0'],1,AV0,VM0,PRP,NP0,1,9,0.7304
2442,mckenzie try to push she head under water but she pull out the plug,L,pull_plug,"['AVP', 'AT0']",2,PNP,CJC,,,1,14,0.3164444444444444
2443,which be something of a racket plus bazooka joe keep on pull the plug on we try to get we off the stage,Q,pull_plug,['AT0'],1,AVP,VVD,PRP,PNP,1,23,0.45921428571428574
2444,there be a huge row within the owen family and for a while it look as if the plug would be pull immediately,Q,pull_plug,[],0,VBI,VM0,,,1,23,0.5255454545454546
2445,it be not for the government to pull the plug on a venture which be run and have cost mr murdoch vast amount of money,I,pull_plug,['AT0'],1,TO0,NN1,PRP,AT0,1,25,0.4904666666666666
2446,bankruptcy mostly property-related total آ¥931 billion in the first two month of 1991 and the total will rise in the new financial year start april 1st as bank pull the plug on other overborrowed customer,I,pull_plug,['AT0'],1,NN2,CJS,PRP,AJ0,1,35,0.26408000000000004
2447,you switch the refrigerator knob to zero you pull out the plug and you put a bowl of boiling water inside he explain sweetly,L,pull_plug,"['AVP', 'AT0']",2,PNP,CRD,CJC,PNP,1,24,0.25066666666666665
2448,someone get strangled in the wire and pull out the plug,L,pull_plug,"['AVP', 'AT0']",2,CJC,NN1,,,2,11,0.4882500000000001
2449,art sales when the bank pull the plug,I,pull_plug,['AT0'],1,NN1,AT0,,,1,8,0.6261666666666668
2450,bt tell to pull the plug on chatline,I,pull_plug,['AT0'],1,TO0,VVD,PRP,NN2,1,8,0.6958
2451,british telecom be order to pull the plug on chatline service last night after the failure of a last minute legal challenge,I,pull_plug,['AT0'],1,TO0,VVN,PRP,NN1,1,22,0.41068750000000004
2452,early sir bryan 's office have be force to withdraw an announcement about the shutdown decision because of the legal challenge but he later issue the formal order to british telecom to pull the plug,I,pull_plug,['AT0'],1,TO0,NP0,,,1,35,0.477625
2453,with less than an hour of daylight remain he carry a flashlight not that it would be of much help with the rain cascade down as if the maya rain god have corral every raincloud in central america and pull the plug out,L,pull_plug,['AT0'],1,CJC,NP0,AVP,,1,43,0.21036000000000005
2454,technical problem and high projected cost have persuade the british government to pull the plug on any immediate plan to tap the heat of the earth for power generation,I,pull_plug,['AT0'],1,TO0,NN1,PRP,DT0,1,29,0.40275
2455,the press have introduce into common speech such expression as pull the plug or switch off the machine,Q,pull_plug,['AT0'],1,CJS,NN2,CJC,VVG,1,18,0.5273571428571429
2456,turn off the ventilator pull the plug the argument go be an omission rather than a positive act,Q,pull_plug,['AT0'],1,NN1,AT0,AT0,NN1,1,18,0.3388333333333334
2457,pull the plug be not an event to tax the criminal lawyer,Q,pull_plug,['AT0'],1,,AJ0-NN1,VBZ,XX0,1,12,0.4595555555555555
2458,pull the plug in such a case be significant from a medical-legal point of view,Q,pull_plug,['AT0'],1,,PRF,PRP,DT0,1,15,0.5948749999999999
2459,whether a court would grant a patient an order require a doctor or whoever to cease treatment to pull the plug be not yet know in england,I,pull_plug,['AT0'],1,TO0,NN1,VBZ,XX0,1,27,0.3572666666666666
2460,in partnership at level one and two the parent body may pull the plug or change the term of reference because the partnership activity be not essential to the main business of the company,I,pull_plug,['AT0'],1,VM0,NN1,CJC,VVB,1,34,0.5268846153846154
2461,britain pull plug on pwr safety research,I,pull_plug,[],0,NP0,,PRP,NN1,2,7,0.6677500000000001
2462,the british government have decide to pull the plug on a european investigation into what happen when a pressurised-water reactor go badly wrong,I,pull_plug,['AT0'],1,TO0,VVN,PRP,AT0,2,23,0.3810714285714286
2463,property share will get a shot-in-the-arm should one of they over-geared number announce that it banker be back it into the new year rather than pull the plug,I,pull_plug,['AT0'],1,CJS,AV0,,,1,28,0.323
2464,if it be not sort out this week i will pull the plug,Q,pull_plug,['AT0'],1,VM0,PNP,,,1,13,0.22480000000000003
2465,the plug have finally be pull on the london ambulance service computer that may have be responsible for up to 20 death last week,I,pull_plug,"['PRP', 'AT0', 'NP0', 'NN1', 'NN1', 'NN1', 'CJT', 'VM0', 'VHI', 'VBN', 'AJ0', 'PRP', 'AVP', 'PRP', 'CRD', 'NN2', 'ORD']",17,VBN,AV0,,,1,24,0.4112352941176472
2466,they study referee ' report and may recommend pull the plug again after the final at wembley on march 27,Q,pull_plug,['AT0'],1,VVI,VM0,AV0,PRP,1,20,0.2875
2467,the region could be face with a large number of knock-on job loss if american airline pull the plug on it loss-making stansted to chicago route,I,pull_plug,['AT0'],1,NN2,AJ0,PRP,DPS,1,26,0.3815
2468,unfortunately someone pull the sink plug and i lose the lot,L,pull_plug,"['AT0', 'NN1']",2,PNI,AV0,CJC,PNP,1,11,0.291875
2469,"but keegan be ready to pull the plug on a آ£500,000 deal for mechelen 's swedish striker kennet andersson",I,pull_plug,['AT0'],1,TO0,AJ0,PRP,AT0,1,19,0.3795
2470,race be big spender from the middle east be threaten to pull the plug and take they horse to france in search of big prize money,I,pull_plug,['AT0'],1,TO0,VVG,CJC,VVB,1,26,0.43390000000000006
2471,millionaire squire sir john pollen have pull the plug on the public phone box that have stand in he village for 30 year,Q,pull_plug,['AT0'],1,VHZ,NN1,PRP,AT0,1,23,0.3985000000000001
2472,terry venables think he have a deal with forest have agree term with sheringham but then brian clough pull the plug because he have no replacement line up,I,pull_plug,['AT0'],1,NP0,NP0,CJS,PNP,1,28,0.5767692307692308
2473,she pull she plug from the phone,L,pull_plug,['DPS'],1,PNP,,PRP,AT0,1,7,0.6599999999999999
2474,but intel insist that dec be still show interest in markete the follow-on paragon machine and that it pull the plug on the deal because it be not satisfied with dec 's level of commitment,I,pull_plug,['AT0'],1,PNP,CJT,PRP,AT0,1,35,0.4547058823529411
2475,barclays say it have no plan to pull other plug,Q,pull_plug,['AJ0'],1,TO0,NN2,,,1,10,0.6463333333333333
2476,solbourne computer inc follow it grim decision early this year to pull the plug on it direct sales european operation ux no 396 have appoint aylesbury buckinghamshire-based computer international ltd to distribute it ware in the uk,I,pull_plug,['AT0'],1,TO0,NN1,PRP,DPS,1,37,0.2942608695652174
2477,wavetracer inc the acton massachusetts-based manufacturer of low-end massively parallel processing system have close down it hardware business after investor pull the plug and refuse to invest far capital,I,pull_plug,['AT0'],1,NN2,CJS,CJC,VVD-VVN,1,29,0.31080952380952387
2478,the japanese be be make to suffer what be for they a serious loss of face in have to pull the plug on the fifteen-month-old massachusetts-based operation set up to build and sell intel i860 box under a five-year commitment to the project,I,pull_plug,['AT0'],1,TO0,VHG,PRP,AT0,1,43,0.4281481481481483
2479,source close to the company say goldmine backer swiss entrepreneur niels rasmussen owner of nercom informatik have pull the plug on any far investment in the firm,I,pull_plug,['AT0'],1,VHZ,NP0-NN1,PRP,DT0,1,27,0.5276666666666667
2480,follow a decision early in the year to scale down it workstation business ux no 368 solbourne computer inc longmont colorado have pull the plug on it direct sales operation in europe claim lack of business,I,pull_plug,['AT0'],1,VHZ,NP0,PRP,DPS,1,36,0.27225000000000005
2481,the frisc chip which also give it name to the operation responsible for it have reportedly reach work silicon and be be put on graphics card and sbus accelerator for the sun marketplace when micron pull the plug,I,pull_plug,['AT0'],1,NP0,CJS-AVQ,,,1,38,0.43834782608695655
2482,american base in forth worth texas announce early this week it be pull the plug on the stansted to chicago daily route because of loss mount to $10 million,I,pull_plug,['AT0'],1,VBD,PNP,PRP,AT0,1,29,0.3418947368421053
2483,learn to relax be like pull a plug at the bottom of you stress glass gradually the tension and stress drain away,L,pull_plug,['AT0'],1,PRP,VBZ,PRP,AT0,1,22,0.27218749999999986
2484,he have pull the plug on printed circuit,I,pull_plug,['AT0'],1,VHD,PNP,PRP,AJ0,1,8,0.8539999999999999
2485,she pull out the plug and the water drain so miranda can not swim any more and lie there feel the water suck away from she,L,pull_plug,"['AVP', 'AT0']",2,PNP,,CJC,AT0,1,26,0.14057142857142857
2486,but they pull the plug on the belial neural net before we could use the security drone to trace they action risk the life of everybody,Q,pull_plug,['AT0'],1,PNP,CJC,PRP,AT0,1,26,0.4668888888888888
2487,chris berry 's bank change they mind about fund the new block and pull the plug,I,pull_plug,['AT0'],1,CJC,NN1,,,1,16,0.595090909090909
2488,he use a special tool call a cheese iron to pull a long plug of cheese out of one truckle from each day 's production,L,pull_plug,"['AT0', 'AJ0']",2,TO0,NN1-VVB,PRF,NN1,2,25,0.35400000000000004
2489,pull the plug,Q,pull_plug,['AT0'],1,,AT0,,,1,3,0.8713333333333333
2490,i do not shut all the internal door and i certainly do not pull most plug out at the socket,L,pull_plug,['DT0'],1,XX0,VDB,AVP,PRP,1,20,0.2863076923076923
2491,she have also consider that vaclav trefusis would eventually get tired enough to stretch he authority and pull the plug anyway list he dreamer as acceptable loss,I,pull_plug,['AT0'],1,CJC,NN1,AV0,VVG,1,27,0.39768749999999997
2492,they will pull the plug no matter what the law say,Q,pull_plug,['AT0'],1,VM0,PNP,ITJ,NN1,1,11,0.7388571428571428
2493,when you pull the plug on cbn and the contra deal,I,pull_plug,['AT0'],1,PNP,CJS,PRP,NP0,1,11,0.7276
2494,feel restless and irritable and in no mood for do she ironing she pull the plug out with an angry little jerk,L,pull_plug,['AT0'],1,PNP,NN1,AVP,PRP,1,22,0.1005714285714286
2495,by the time it have go through it trauma jann wenner and mick jagger have pull the plug on the london rolling stone,I,pull_plug,['AT0'],1,VHD,NP0,PRP,AT0,1,23,0.6032857142857143
2496,if you just pull the plug it do not have time to erase the temporary file it use and if you be use the late smartdrv utility you might even lose data that you think be safely write to disk,L,pull_plug,['AT0'],1,AV0,PNP,PNP,VDZ,1,40,0.4354583333333333
2497,if the plug be pull on the tour there will be a scramble to replace the bok but i believe the rfu be already look to france to step into the breach,I,pull_plug,"['PRP', 'AT0', 'NN1', 'EX0', 'VM0', 'VBI', 'AT0', 'NN1', 'TO0', 'VVI', 'AT0', 'NN2', 'CJC', 'PNP', 'VVB', 'AT0', 'NP0', 'VBB', 'AV0', 'VVG', 'PRP', 'NP0', 'TO0', 'VVI', 'PRP', 'AT0']",26,VBZ,NN1,,,1,32,0.5528235294117649
2498,now when you hear that mention in the betting shop go no and pull the plug out of the television,L,pull_plug,['AT0'],1,CJC,AT0,AVP,PRF,1,20,0.46207692307692305
2499,when i pull the bath plug,L,pull_plug,"['AT0', 'NN1']",2,PNP,CJS,,,1,6,0.6657500000000001
2500,anybody could have go outside and pull a plug out of the wall and the show would have be off the air a lot of people probably wish they have,L,pull_plug,['AT0'],1,CJC,AV0,AVP,PRF,1,30,0.43390476190476185
2501,all be go well until a passing lad with a sense of fun pull out the plug,L,pull_plug,"['AVP', 'AT0']",2,NN1,PRF,,,2,17,0.31483333333333335
2502,therese follow the fire flex along the stage and pull the plug from the socket,L,pull_plug,['AT0'],1,CJC,NN1,PRP,AT0,1,15,0.5556363636363636
2503,the commission be gon na pull the plug on because of you failure while you be in control to adhere to the programme,I,pull_plug,['AT0'],1,TO0,VVG,AVP-PRP,CJS,1,23,0.6336428571428572
2504,when it steady she pull out the bath plug and kneel to hold she protest head under the running water from the tap,L,pull_plug,"['AVP', 'AT0', 'NN1']",3,PNP,VVD,CJC,VVD,1,23,0.29800000000000004
2505,there be mould on the wall plug have be pull from the socket,L,pull_plug,"['PRP', 'AT0']",2,VBN,VHB,,,1,13,0.611875
2506,we feel that if we do not pursue this second transplant it would be like to put it bluntly pull the plug on she,I,pull_plug,['AT0'],1,AV0,PNP,PRP,PNP,1,24,0.6195
2507,it have also be agree that italy will pay a reciprocal visit to dublin in april when they will take part in a four nation competition to replace the home international championship follow england 's decision to pull the plug on the domestic series last season,I,pull_plug,['AT0'],1,TO0,NN1,PRP,AT0,1,46,0.5321000000000001
2508,it have also be agree that italy will pay a reciprocal visit to dublin in april when they will take part in a four nation competition to replace the home international championship follow england 's decision to pull the plug on the domestic series last season,I,pull_plug,['AT0'],1,TO0,NN1,PRP,AT0,1,46,0.5321000000000001
2509,in view of all the talk about a resumption of political talk i have be look at the last word of the ulster unionist on the subject deliver just before the plug be pull last october,I,pull_plug,['ORD'],1,VBD,NN1,,,1,36,0.42508
2510,however he accept that digital also have to consider the effect on it market credibility if it pull the plug on manufacturing operation in britain which account for a quarter of the firm 's european sales,I,pull_plug,['AT0'],1,PNP,CJS,PRP,NN1-VVG,1,36,0.5163636363636365
2511,bbc pull the plug on eldorado soap,I,pull_plug,['AT0'],1,NP0,,PRP,NP0,1,7,0.6719999999999999
2512,but it be believe that the bank will not pull the plug in haste as it image would take a knock and the money it be owe would be unlikely to be recover,I,pull_plug,['AT0'],1,XX0,VM0,PRP,NN1,1,33,0.405764705882353
2513,generator pull plug on coal haulage contract,I,pull_plug,[],0,NN1,,PRP,NN1,1,7,0.5196
2514,well they think they will pull the plug on it,I,pull_plug,['AT0'],1,VM0,PNP,PRP,PNP,1,10,0.8244
2515,b pull back the spent reverse punch use this action to help unroll the back fist,L,pull_punch,"['AVP', 'AT0', 'AJ0', 'AJ0-NN1']",4,ZZ0,,VVG,DT0,3,16,0.5585833333333333
2516,roundhouse kick a pull back the spent reverse punch use this action to help bring you kicking knee across the front of you body,L,pull_punch,"['AVP', 'AT0', 'AJ0', 'AJ0-NN1']",4,ZZ0,NN1-VVB,VVG,DT0,1,24,0.3996875000000001
2517,prost 's racing glove conceal an iron fist alan henry find that the three-time world champion do not pull many punch in he candid tale of life on the grand prix circuit,I,pull_punch,['DT0'],1,XX0,VDZ,PRP,DPS,1,32,0.49624999999999997
2518,the three-time world champion have a good tale to tell and while the format could have do with more meat on the bone this volume certainly do not pull any punch,I,pull_punch,['DT0'],1,XX0,VDZ,,,1,31,0.5249999999999999
2519,but this man will pull no punch when he be irk as the head of the thatcher loyalist determine that she should fight to the end he threaten to floor a thatcher aide who be guard she door unless he allow he in to see she,Q,pull_punch,['AT0'],1,VM0,NN1,AVQ-CJS,PNP,1,46,0.2666086956521739
2520,the twin both 22 though kevin be 11 minute old pull no punch in the welterweight bout and steve tell associated press if i have have the chance i would have knock he out,L,pull_punch,['AT0'],1,AJC,NN2,PRP,AT0,1,34,0.3013157894736842
2521,commuter virtually trip up over the word which pull no punch in all the city and town of britain,I,pull_punch,['AT0'],1,DTQ,NN2,PRP,DT0,1,19,0.2616666666666667
2522,yet another major error be to pull you punch,Q,pull_punch,['DPS'],1,TO0,VBZ,,,1,9,0.16399999999999998
2523,they start at the beginning and tell the whole story pull no mathematical punch but provide so much historical and biographical material as well as physical explanation that a complete mathematical ignoramus could gain much from the work by read the word and skip the equation,I,pull_punch,"['AT0', 'AJ0']",2,NN1,AJ0,CJC,VVG,1,46,0.31729032258064516
2524,the backdrop of 1950s harlem be violent and sinister and the direction pull few punch,I,pull_punch,['DT0'],1,NN1,AT0,,,1,15,0.07840000000000001
2525,steve be not in the mood to pull any punch,Q,pull_punch,['DT0'],1,TO0,NN1,,,1,10,0.48633333333333334
2526,pull no punch he ask vincent what on earth have possess he to behave so grotesquely,I,pull_punch,['AT0'],1,,AV0,PNP,VVD,1,16,0.3691111111111111
2527,ramsay pull no punch in he characterisation refreshingly unsycophantic he paint clearly what he see,I,pull_punch,['AT0'],1,NP0,,PRP,DPS,1,15,0.041000000000000016
2528,but he job as presenter of bbc-1 's film 92 despite the image of the smooth- tongued critic who do not pull he punch have bring he some decidedly un-cool moment off-screen,I,pull_punch,['DPS'],1,XX0,VDZ,VHZ,VVN,2,32,0.5988235294117646
2529,bobby the brain heenan hurl insult from the ringside fast than randy savage pull punch,Q,pull_punch,[],0,NP0,NP0,,,1,15,0.03640000000000002
